Francais;Allemand
creer une communaute;eine Community gründen
partager des videos, photos, fichiers;Videos teilen/Fotos teilen/Dateien teilen
partager qqch en passant par un groupe, un cloud;etw. über eine Gruppe teilen/etw.über eine Cloud teilen
jouer en ligne;online zocken
donner des cours de soutien scolaire en ligne;Online-Nachhilfe geben
prendre des cours de soutien scolaire en ligne;Online-Nachhilfe nehmen
s'inscrire a MOOC (cours en ligne);sich bei einem MOOC an melden
lancer une campagne en ligne;eine Kampagne online starten
s'abonner a un podcast;einen Podcast abonnieren
completer, ameliorer un wiki;ein Wiki ergänzen/ein Wiki verbessern
appartenir a une communauté;einer Community an gehören
apporter sa contribution, contribuer a qqch;einen Beitrag leisten/zu etw. bei tragen
tourner, publier une video;ein Video drehen/ein Video veröffentlichen
expliquer qqch a qqn;jm etw. erklären
s'y connaitre, etre expert en qqch;sich in etw. gut aus kennen/sich mit etw. gut aus kennen
evaluer qqch sur internet;etw. im Internet bewerten
signer une petition en ligne;eine Online-Petition unterschreiben
participer a un mouvement citoyen;an einer Bürgerbewegung teil nehmen
recevoir des commentaires haineux;Hasskommentare bekommen
insulter qqn;jn beschimpfen
harceler qqn;jn belästigen/jn mobben
le cyberharcelement;das Cybermobbing
devenir une victime;Opfer werden
avoir honte;sich schämen
aller chercher de l'aide;Hilfe holen
bloquer qqn;jn blockieren
se deconnecter;offline gehen
se proteger de qqch;sich vor etw. schützen
s'adresser a qqn, se tourner vers qqn;sich an jn wenden
informer qqn sur les dangers;jn über die Gefahren auf klären
